1,4.0000000000000972E-006,2.0000000000002655E-006
2,2.9999999999999645E-006,2.0000000000002655E-006
4,1.9999999999998318E-006,1.9999999999998318E-006
8,2.9999999999999645E-006,3.9999999999996635E-006
16,7.0000000000000617E-006,7.0000000000000617E-006
32,2.1000000000000185E-005,2.1000000000000185E-005
64,8.1000000000000343E-005,1.1399999999999995E-004
128,9.4999999999999599E-005,9.2000000000000068E-005
256,5.4600000000000048E-004,3.5899999999999994E-004
512,1.9500000000000003E-003,1.2489999999999984E-003
1024,1.3919000000000001E-002,4.9380000000000049E-003
2048,8.5414999999999991E-002,2.3187999999999986E-002
4096,0.37858100000000000,6.5949000000000035E-002
8192,1.5842320000000001,0.20619800000000010
16384,7.5116910000000008,0.78367000000000075
31329,45.302588000000000,9.5295440000000013
